name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
A Single Man;2009;Tous publics;99;['Drama', 'Romance'];7.5;77;An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles.;['Tom Ford'];['Colin Firth', 'Julianne Moore', 'Matthew Goode', 'Nicholas Hoult']
Royal Affair;2012;Tous publics;137;['Biography', 'Drama', 'History'];7.5;73;A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever.;['Nikolaj Arcel'];['Alicia Vikander', 'Mads Mikkelsen', 'Mikkel Boe Følsgaard', 'Trine Dyrholm']
La visite de la fanfare;2007;Tous publics;87;['Comedy', 'Drama', 'Music'];7.5;80;A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town.;['Eran Kolirin'];['Sasson Gabay', 'Ronit Elkabetz', 'Saleh Bakri', 'Khalifa Natour']
Lust, Caution;2007;12;157;['Drama', 'History', 'Romance'];7.5;61;During World War II era, a young woman, Wang Jiazhi, gets swept up in a dangerous game of emotional intrigue with a powerful political figure, Mr. Yee.;['Ang Lee'];['Tony Chiu-Wai Leung', 'Tang Wei', 'Joan Chen', 'Leehom Wang']
Scott Pilgrim;2010;Tous publics;112;['Action', 'Comedy', 'Fantasy'];7.5;69;In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.;['Edgar Wright'];['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Anna Kendrick']
The Great Debaters;2007;PG-13;126;['Biography', 'Drama', 'Romance'];7.5;65;A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.;['Denzel Washington'];['Denzel Washington', 'Forest Whitaker', 'Kimberly Elise', 'Nate Parker']
The Edukators;2004;R;127;['Drama', 'Romance'];7.5;68;Three activists cobble together a kidnapping plot after they encounter a businessman in his home.;['Hans Weingartner'];['Daniel Brühl', 'Julia Jentsch', 'Stipe Erceg', 'Burghart Klaußner']
Little Children;2006;Tous publics;137;['Drama', 'Romance'];7.5;75;The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts.;['Todd Field'];['Kate Winslet', 'Jennifer Connelly', 'Patrick Wilson', 'Jackie Earle Haley']
La chorale du bonheur;2004;Pas disponible;133;['Comedy', 'Drama', 'Music'];7.5;0;A famous international conductor returns to his small childhood town in Sweden for early retirement. He's asked to help with the church choir. He affects the lives of all in the choir.;['Kay Pollak'];['Michael Nyqvist', 'Frida Hallgren', 'Helen Sjöholm', 'Lennart Jähkel']
Sideways;2004;Tous publics;127;['Comedy', 'Drama', 'Romance'];7.5;94;Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.;['Alexander Payne'];['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen', 'Sandra Oh']
